Sl No,product_name,product_imageSRC,product_price_in_inr,product_rating,product_total_ratings,product_total_reviews,product_discount,processor,ram,os,storage,display
55,Acer Aspire Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home) AL15-52H Thin and Light...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/0/6/k/aspire-lite-thin-and-light-laptop-acer-original-imahg6zgcgccmzah.jpeg?q=70,62990.0,3.7,10664,1222,9,Intel Core i5 Processor (13th Gen),16 GB LPDDR5 RAM,Windows 11 Home Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display
56,Lenovo IdeaPad Slim 3 WUXGA IPS Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home) 15I...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/v/p/0/-original-imahex3ugzs2fhzj.jpeg?q=70,72999.0,4.3,19735,2048,29,Intel Core i5 Processor (13th Gen),16 GB DDR5 RAM,Windows 11 Home Operating System,512 GB SSD,38.86 cm (15.3 inch) Display
57,"ASUS Vivobook 14 (2026) AI PC with Office 2024 + M365 Basic*, Copilot+ PC Intel Core Ultra 5 Series 3 ...",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/i/7/q/-original-imahmp87hj39qc69.jpeg?q=70,92990.0,4.4,7,1,12,Intel Core Ultra 5 Processor (Series 3),16 GB DDR5 RAM,Windows 11 Home Operating System,512 GB SSD,35.56 cm (14 inch) Display
58,"ASUS Vivobook 16 (2026) AI PC with Office 2024 + M365 Basic*, Copilot+ PC AMD Ryzen AI 7 Hexa Core 445...",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/z/w/7/-original-imahknwxwnevvgzx.jpeg?q=70,88990.0,4.8,86,9,39,AMD Ryzen AI 7 Hexa Core Processor,16 GB DDR5 RAM,Windows 11 Home Operating System,512 GB SSD,40.64 cm (16 inch) Display
59,HP 15s AMD Ryzen 3 Quad Core 5300U - (8 GB/512 GB SSD/Windows 11 Home) 15s-eq2143au Thin and Light Lap...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/p/r/h/-enriched-transparent-original-imahg5fwhzmp2qnh.png?q=70,50980.0,4.3,19735,2048,29,AMD Ryzen 3 Quad Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display
60,"ASUS Vivobook 15 (2025) (i5 14th Gen) with MSO 2024 + M365 Basic*, Backlit Keyboard, Intel Core 5 120U...",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/l/8/b/-original-imahg2mbhhvz4bfy.jpeg?q=70,75360.0,4.4,7,1,12,Intel Core 5 Processor,16 GB DDR4 RAM,Windows 11 Home Operating System,512 GB SSD,39.62 cm (15.6 inch) Display
61,ASUS ASUS VIVOBOOK GO 15 AMD Ryzen 5 Octa Core 7th Gen RYZEN 5 7520U - (16 GB/512 GB HDD/512 GB SSD/Wi...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/l/c/3/e1504fa-bq2490ws-laptop-asus-original-imahnf2hygggakyz.jpeg?q=70,54990.0,4.4,6599,623,26,AMD Ryzen 5 Octa Core Processor (7th Gen),16 GB DDR5 RAM,64 bit Windows 11 Operating System,512 GB HDD|512 GB SSD,39.62 cm (15.6 inch) Display
62,ASUS Pro P5 Intel Core i7 8th Gen 8565U - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Pro) Pro P5 P5440FA Thi...,https://rukminim2.flixcart.com/image/312/312/kf8kvbk0/computer/f/x/f/asus-original-imafvq243ppg4hax.jpeg?q=70,66990.0,4.2,86,9,39,Intel Core i7 Processor (8th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD|256 GB SSD,35.56 cm (14 Inch) Display
63,Lenovo IdeaPad Slim 3 Backlit Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home) 15IAH...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/c/c/e/-original-imahg5fytmgbbduv.jpeg?q=70,72624.0,4.3,86,9,39,Intel Core i5 Processor (12th Gen),16 GB LPDDR5 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display
64,HP Victus (i7 14th Gen) Intel Core 7 240H - (24 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeFor...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/d/3/f/-original-imahjxbgqmjfk5st.jpeg?q=70,169999.0,4.1,10664,1222,9,Intel Core 7 Processor,24 GB DDR5 RAM,Windows 11 Home Operating System,1 TB SSD,39.62 cm (15.6 Inch) Display
65,HP Victus(i5 14th Gen) Intel Core 5 210H - (24 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFo...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/a/y/4/-original-imahzphnrysufg9t.jpeg?q=70,88990.0,4.2,99,15,9,Intel Core 5 Processor,24 GB DDR5 RAM,Windows 11 Home Operating System,512 GB SSD,39.62 cm (15.6 inch) Display
66,HP Pavilion Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) 14-dv2014TU Thin and Lig...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/s/q/6/-enriched-transparent-original-imahg5fx3rkzbvae.png?q=70,68790.0,4.3,86,9,39,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,35.56 cm (14 Inch) Display
67,DELL 14 Plus Next Gen AI PC Microsoft Office Home 2024 Intel Core Ultra 5 226V - (16 GB/512 GB SSD/Win...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/0/u/d/-original-imahmg5hzfmzdyab.jpeg?q=70,89999.0,4.3,3337,227,21,Intel Core Ultra 5 Processor,16 GB LPDDR5X RAM,Windows 11 Home Operating System,512 GB SSD,35.56 cm (14 Inch) Display
68,Acer ‎Acer One 14 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) A114-43 Thin and Lig...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/u/b/b/-original-imahnvpbk9usvxky.jpeg?q=70,42990.0,4.0,10664,1222,9,AMD Ryzen 3 Quad Core Processor,8 GB LPDDR5 RAM,Windows 11 Operating System,512 GB SSD,35.56 cm (14 Inch) Display
